File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
68911,FFT1DOnce,869,x_r,-2.5500202181869867,1.0,2.5500202181869156,SDC,61
170299,FFT1DOnce,874,x_c,-0.0625,0.014876189360884518,5.116e-13,Masked,45
498895,FFT1DOnce,871,tau_r,-24.834396222232943,1.0,1.137e-13,Masked,61
181247,FFT1DOnce,874,x_c,2.9965680675235973,-1.0,1.137e-13,Masked,61
161597,FFT1DOnce,870,x_c,30.180387928256497,15.0,5.68e-14,Masked,53
303356,FFT1DOnce,874,x_c,-0.25,-0.23162850690587342,2.842e-13,Masked,49
517547,Reverse,833,x,-0.5,0.015198628972237964,2.84e-14,Masked,45
47644,TwiddleOneCol,715,tx,0.03125,0.21025370228647927,1.137e-13,Masked,49
388351,FFT1DOnce,870,x_c,1.7565225115393225e+308,inf,1.9100815462343998e+291,SDC,61
320654,FFT1DOnce,875,x2,-9.158554147573711e+19,-1.8446744073709552e+19,253.01323325193943,SDC,57
480285,FFT1DOnce,872,tau_c,-431.7821835743963,-15.0,8.53e-14,Masked,53
33277,FFT1DOnce,874,x_c,-0.8953928771745745,0.9375,0.8953928771745154,SDC,53
292479,FFT1DOnce,878,x1,-6.314634872072254,1.0,3.411e-13,Masked,61
451103,FFT1DOnce,868,omega_c,2.0,0,5.68e-14,Masked,61
430572,FFT1DOnce,869,x_r,1.0,0.21711738770552486,8.53e-14,Masked,49
38382,FFT1DOnce,869,x_r,0.0034396696143604,-1.0,2.84e-14,Masked,57
79547,TwiddleOneCol,710,tomega_c,0.0078125,-0.014062099497466963,1.137e-13,Masked,45
380,Transpose,804,dest,0.0625,0.15997478463676976,0.0625000000000568,SDC,49
370045,TwiddleOneCol,715,tx,32.45496933630085,-0.9375,0.0,Masked,53
8319,Reverse,833,x,1.4182616282606025e+308,inf,nan,DUE,61
429965,FFT1DOnce,867,omega_r,-0.9375,0.9375,8.53e-14,Masked,53
306750,Reverse,833,x,1.8550562775014765e+20,1.8446744073709552e+19,255.94696235180453,SDC,57
199117,FFT1DOnce,875,x2,-1.7363703714150092,-15.000000000000002,2.84e-14,Masked,53
516159,FFT1DOnce,878,x1,-40.79723676406503,1.0,0.1593642061095579,SDC,61
181741,FFT1DOnce,869,x_r,-1.7412689646111517,0.9375,2.274e-13,Masked,53
518238,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,57
38718,FFT1DOnce,878,x1,-0.7725101087471941,1.0,2.84e-14,Masked,57
516974,Scale,725,x,-0.5574072125556773,1.0,0.5574072125555745,SDC,57
386271,TwiddleOneCol,715,tx,-29.021072404158843,1.0,1.421e-13,Masked,61
251806,Transpose,804,dest,-4.24609302736229e+19,-1.8446744073709552e+19,127.94696235180453,SDC,57
418238,Scale,726,x,-0.1276170168117403,1.0,0.127617016811655,SDC,57
