File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit,DI
4572,Transpose,804,dest,0.0625,0.21058758933422295,0.0625000000000568,SDC,49,285
220296,FFT1DOnce,867,omega_r,3.814697265625e-06,3.814697265625e-06,8.53e-14,Masked,33,13768
154218,FFT1DOnce,877,x1,0.00390625,-0.0009312769198375499,2.274e-13,Masked,41,9638
290484,TwiddleOneCol,710,tomega_c,-1.455185971721562e-11,4.043353134370657e-11,5.68e-14,Masked,17,18155
174325,FFT1DOnce,874,x_c,-1.862645149230957e-09,-7.425605871424279e-10,5.68e-14,Masked,21,10895
256597,Transpose,804,dest,-1.164152940713592e-10,6.549243911259167e-10,5.68e-14,Masked,21,16037
112451,TwiddleOneCol,709,tomega_r,1.8189894035458565e-12,-1.8546229720126273e-12,5.68e-14,Masked,13,7028
159841,FFT1DOnce,869,x_r,-7.105427357601002e-15,7.763481712488684e-15,8.53e-14,Masked,5,9990
386991,TwiddleOneCol,711,tx_r,4.158567527849858,-1.0,1.705e-13,Masked,61,24186
147580,FFT1DOnce,870,x_c,-0.125,-0.2009623643243781,8.53e-14,Masked,49,9223
158682,Reverse,832,x,0.000244140625,-0.0005383175481914453,1.137e-13,Masked,41,9917
